policy_id,vehicle_usage_type,cylinder,gross_weight,gear_box,fuel,torque,car_color,features,airbags,policy_age_months,population_density,transmission_type,manufacturer,rear_brakes,engine_type,height,car_age,policyholder_age,garage_type,region,width,annual_mileage_km,steering_type,driver_occupation,length,car_model,power,displacement,turning_radius,car_segment,safety_rating,claim
P11,Commercial,3,1340,5,CNG,82.1Nm@3400rpm,White,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,103,27003,Manual,1,Drum,K10C,1675,1 years and 9 months,23,Enclosed Parking,C2,1620,20000,Power,Student,3655,M8,55.92bhp@5300rpm,998,4.7,B1,23,0
P12,Rental,3,1185,5,CNG,60Nm@3500rpm,Other,"['parking_sensors', 'power_steering', 'speed_alert']",2,45,34738,Manual,1,Drum,F8D Petrol Engine,1475,0 months,44,On Street,C5,1515,5000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,3,0
P13,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,Other,"['parking_sensors', 'power_steering', 'speed_alert']",2,90,4990,Manual,1,Drum,F8D Petrol Engine,1475,5 years and 3 months,40,On Street,C1,1515,5000,Power,Professional,3445,M1,40.36bhp@6000rpm,796,4.6,A,1,0
P14,Commercial,4,1720,6,Diesel,250Nm@2750rpm,White,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,84,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,1 years and 9 months,40,Driveway,C8,1790,10000,Power,Unemployed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,37,0
P15,Ride-sharing,3,1340,5,CNG,82.1Nm@3400rpm,Red,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,34,5410,Manual,1,Drum,K10C,1675,8 months,38,Covered,C13,1620,15000,Power,Student,3655,M8,55.92bhp@5300rpm,998,4.7,B1,30,0
P16,Commercial,3,1185,5,CNG,60Nm@3500rpm,Black,"['parking_sensors', 'power_steering', 'speed_alert']",2,51,34738,Manual,1,Drum,F8D Petrol Engine,1475,0 months,43,On Street,C5,1515,25000,Power,Professional,3445,M1,40.36bhp@6000rpm,796,4.6,A,4,0
P17,Work and Personal,4,1335,5,Petrol,113Nm@4400rpm,Unknown,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,97,5410,Automatic,1,Drum,1.2 L K12N Dualjet,1515,3 years and 6 months,25,Covered,C13,1735,15000,Electric,Professional,3995,M2,88.50bhp@6000rpm,1197,4.8,C1,25,0
P18,Personal,4,1720,6,Diesel,250Nm@2750rpm,Silver,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,6,73430,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 months,40,Enclosed Parking,C10,1790,25000,Power,Professional,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,38,0
P19,Rental,3,1185,5,CNG,60Nm@3500rpm,Silver,"['parking_sensors', 'power_steering', 'speed_alert']",2,18,4076,Manual,1,Drum,F8D Petrol Engine,1475,2 years and 1 months,38,Driveway,C3,1515,20000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,5,0
P20,Personal,4,1720,6,Diesel,250Nm@2750rpm,Unknown,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,63,34738,Automatic,3,Disc,1.5 L U2 CRDi,1635,3 years and 10 months,45,Driveway,C5,1790,10000,Power,Student,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,32,0
P21,Ride-sharing,3,1185,5,CNG,60Nm@3500rpm,Unknown,"['parking_sensors', 'power_steering', 'speed_alert']",2,35,73430,Manual,1,Drum,F8D Petrol Engine,1475,4 months,40,Driveway,C10,1515,5000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,6,0
P22,Rental,4,1335,5,Petrol,113Nm@4400rpm,Unknown,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,7,8794,Manual,1,Drum,K Series Dual jet,1530,2 years and 5 months,23,Covered,C8,1735,5000,Electric,Student,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,21,0
P23,Rental,4,1335,5,Petrol,113Nm@4400rpm,Gray,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,14,27003,Manual,1,Drum,K Series Dual jet,1530,1 years and 9 months,49,On Street,C2,1735,20000,Electric,Student,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,28,0
P24,Work and Personal,4,1720,6,Diesel,250Nm@2750rpm,Red,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,88,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,7 years and 0 months,31,Enclosed Parking,C8,1790,25000,Power,Self-Employed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,38,0
P25,Personal,4,1335,5,Petrol,113Nm@4400rpm,Other,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,85,7788,Manual,1,Drum,K Series Dual jet,1530,2 years and 1 months,43,Covered,C14,1735,20000,Electric,Student,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,23,0
P26,Personal,3,1185,5,CNG,60Nm@3500rpm,Black,"['parking_sensors', 'power_steering', 'speed_alert']",2,20,7788,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 9 months,39,Enclosed Parking,C14,1515,10000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,2,0
P27,Ride-sharing,4,1051,5,Diesel,200Nm@1750rpm,Blue,"['adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_defogger', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,103,8794,Manual,5,Drum,i-DTEC,1501,5 years and 11 months,28,Driveway,C8,1695,10000,Electric,Student,3995,M9,97.89bhp@3600rpm,1498,4.9,C1,47,0
P28,Work and Personal,4,1410,5,Petrol,113Nm@4400rpm,Other,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",6,71,8794,Automatic,1,Drum,1.2 L K Series Engine,1500,4 years and 2 months,23,On Street,C8,1745,25000,Electric,Professional,3990,M7,88.50bhp@6000rpm,1197,4.85,B2,1,0
P29,Commercial,3,1340,5,CNG,82.1Nm@3400rpm,Other,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,87,27742,Manual,1,Drum,K10C,1675,8 months,38,Covered,C19,1620,5000,Power,Self-Employed,3655,M8,55.92bhp@5300rpm,998,4.7,B1,25,0
P30,Personal,4,1051,5,Diesel,200Nm@1750rpm,Blue,"['adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_defogger', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,12,4076,Manual,5,Drum,i-DTEC,1501,2 years and 5 months,43,Driveway,C3,1695,20000,Electric,Student,3995,M9,97.89bhp@3600rpm,1498,4.9,C1,44,0
P31,Rental,4,1335,5,Petrol,113Nm@4400rpm,Gray,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,99,4076,Manual,1,Drum,K Series Dual jet,1530,1 years and 9 months,31,Covered,C3,1735,10000,Electric,Student,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,25,1
P32,Ride-sharing,4,1510,5,CNG,85Nm@3000rpm,Blue,"['parking_sensors', 'speed_alert']",1,7,8794,Manual,1,Drum,G12B,1825,2 years and 1 months,29,Enclosed Parking,C8,1475,10000,Manual,Self-Employed,3675,M10,61.68bhp@6000rpm,1196,4.5,Utility,5,0
P33,Work and Personal,4,1720,6,Diesel,250Nm@2750rpm,Red,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,86,7788,Automatic,3,Disc,1.5 L U2 CRDi,1635,3 years and 1 months,40,Covered,C14,1790,15000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,39,0
P34,Ride-sharing,3,1340,5,CNG,82.1Nm@3400rpm,Blue,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,102,5410,Manual,1,Drum,K10C,1675,8 months,37,Covered,C13,1620,5000,Power,Professional,3655,M8,55.92bhp@5300rpm,998,4.7,B1,26,0
P35,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,Unknown,"['parking_sensors', 'power_steering', 'speed_alert']",2,43,73430,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 0 months,30,Driveway,C10,1515,10000,Power,Retired,3445,M1,40.36bhp@6000rpm,796,4.6,A,3,0
P36,Personal,4,1490,5,Diesel,200Nm@3000rpm,Blue,"['adjustable_steering', 'parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,61,27003,Manual,4,Drum,1.5 Turbocharged Revotorq,1523,3 years and 10 months,33,On Street,C2,1755,5000,Electric,Self-Employed,3990,M5,88.77bhp@4000rpm,1497,5.0,B2,55,0
P37,Commercial,4,1720,6,Diesel,250Nm@2750rpm,Black,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,10,4990,Automatic,3,Disc,1.5 L U2 CRDi,1635,0 months,49,Driveway,C1,1790,20000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,34,0
P38,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,Blue,"['parking_sensors', 'power_steering', 'speed_alert']",2,10,7788,Manual,1,Drum,F8D Petrol Engine,1475,8 months,26,Driveway,C14,1515,10000,Power,Professional,3445,M1,40.36bhp@6000rpm,796,4.6,A,10,0
P39,Commercial,4,1720,6,Diesel,250Nm@2750rpm,Other,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,5,7788,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 years and 10 months,35,Enclosed Parking,C14,1790,20000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,40,0
P40,Commercial,3,1185,5,CNG,60Nm@3500rpm,Unknown,"['parking_sensors', 'power_steering', 'speed_alert']",2,6,17804,Manual,1,Drum,F8D Petrol Engine,1475,0 months,30,Enclosed Parking,C9,1515,15000,Power,Retired,3445,M1,40.36bhp@6000rpm,796,4.6,A,7,0
P41,Personal,4,1720,6,Diesel,250Nm@2750rpm,Red,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,13,73430,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 years and 10 months,29,Covered,C10,1790,15000,Power,Student,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,38,0
P42,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,Other,"['parking_sensors', 'power_steering', 'speed_alert']",2,2,34738,Manual,1,Drum,F8D Petrol Engine,1475,4 months,23,Covered,C5,1515,20000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,7,0
P43,Personal,3,1185,5,CNG,60Nm@3500rpm,Gray,"['parking_sensors', 'power_steering', 'speed_alert']",2,46,17804,Manual,1,Drum,F8D Petrol Engine,1475,8 months,32,Enclosed Parking,C9,1515,25000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,6,0
P44,Ride-sharing,3,1185,5,CNG,60Nm@3500rpm,Other,"['parking_sensors', 'power_steering', 'speed_alert']",2,11,4076,Manual,1,Drum,F8D Petrol Engine,1475,2 years and 1 months,36,Covered,C3,1515,25000,Power,Retired,3445,M1,40.36bhp@6000rpm,796,4.6,A,6,0
P45,Ride-sharing,3,1185,5,CNG,60Nm@3500rpm,Blue,"['parking_sensors', 'power_steering', 'speed_alert']",2,53,34738,Manual,1,Drum,F8D Petrol Engine,1475,4 months,40,Driveway,C5,1515,25000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,4,0
P46,Ride-sharing,3,1185,5,CNG,60Nm@3500rpm,White,"['parking_sensors', 'power_steering', 'speed_alert']",2,24,4076,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 0 months,40,Driveway,C3,1515,15000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,4,0
P47,Commercial,3,1185,5,CNG,60Nm@3500rpm,Other,"['parking_sensors', 'power_steering', 'speed_alert']",2,80,6112,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 9 months,33,Enclosed Parking,C7,1515,20000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,7,0
P48,Personal,3,1185,5,CNG,60Nm@3500rpm,White,"['parking_sensors', 'power_steering', 'speed_alert']",2,17,27003,Manual,1,Drum,F8D Petrol Engine,1475,0 months,53,On Street,C2,1515,20000,Power,Retired,3445,M1,40.36bhp@6000rpm,796,4.6,A,0,0
P49,Rental,4,1720,6,Diesel,250Nm@2750rpm,Gray,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,101,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,8 months,35,Covered,C8,1790,15000,Power,Unemployed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,40,0
P50,Work and Personal,4,1335,5,Petrol,113Nm@4400rpm,Gray,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,95,6112,Manual,1,Drum,K Series Dual jet,1530,1 years and 0 months,39,Covered,C7,1735,15000,Electric,Professional,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,26,0
P51,Rental,3,1185,5,CNG,60Nm@3500rpm,Silver,"['parking_sensors', 'power_steering', 'speed_alert']",2,100,65567,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 0 months,25,Driveway,C17,1515,25000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,5,0
P52,Ride-sharing,4,1410,5,Petrol,113Nm@4400rpm,Other,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",6,5,4076,Automatic,1,Drum,1.2 L K Series Engine,1500,1 years and 9 months,36,Covered,C3,1745,10000,Electric,Unemployed,3990,M7,88.50bhp@6000rpm,1197,4.85,B2,2,0
P53,Personal,4,1335,5,Petrol,113Nm@4400rpm,Black,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,26,27003,Manual,1,Drum,K Series Dual jet,1530,2 years and 1 months,25,Driveway,C2,1735,15000,Electric,Retired,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,21,0
P54,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,Silver,"['parking_sensors', 'power_steering', 'speed_alert']",2,90,73430,Manual,1,Drum,F8D Petrol Engine,1475,4 months,33,Driveway,C10,1515,15000,Power,Self-Employed,3445,M1,40.36bhp@6000rpm,796,4.6,A,3,0
P55,Ride-sharing,4,1720,6,Diesel,250Nm@2750rpm,Silver,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,6,34738,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 years and 2 months,34,Enclosed Parking,C5,1790,15000,Power,Professional,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,38,0
P56,Personal,4,1720,6,Diesel,250Nm@2750rpm,Blue,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,64,73430,Automatic,3,Disc,1.5 L U2 CRDi,1635,2 years and 1 months,23,Enclosed Parking,C10,1790,10000,Power,Student,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,36,0
P57,Work and Personal,4,1720,6,Diesel,250Nm@2750rpm,Silver,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,8,5410,Automatic,3,Disc,1.5 L U2 CRDi,1635,1 years and 4 months,50,Enclosed Parking,C13,1790,25000,Power,Professional,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,37,0
P58,Personal,3,1185,5,CNG,60Nm@3500rpm,Red,"['parking_sensors', 'power_steering', 'speed_alert']",2,12,17804,Manual,1,Drum,F8D Petrol Engine,1475,4 months,38,On Street,C9,1515,5000,Power,Professional,3445,M1,40.36bhp@6000rpm,796,4.6,A,9,0
P59,Rental,3,1185,5,CNG,60Nm@3500rpm,White,"['parking_sensors', 'power_steering', 'speed_alert']",2,27,8794,Manual,1,Drum,F8D Petrol Engine,1475,0 months,24,On Street,C8,1515,5000,Power,Professional,3445,M1,40.36bhp@6000rpm,796,4.6,A,4,0
P60,Personal,3,1185,5,CNG,60Nm@3500rpm,White,"['parking_sensors', 'power_steering', 'speed_alert']",2,1,34738,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 9 months,47,Covered,C5,1515,20000,Power,Self-Employed,3445,M1,40.36bhp@6000rpm,796,4.6,A,2,0
P61,Personal,3,1185,5,CNG,60Nm@3500rpm,Blue,"['parking_sensors', 'power_steering', 'speed_alert']",2,0,35036,Manual,1,Drum,F8D Petrol Engine,1475,0 months,40,Driveway,C18,1515,20000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,0,0
P62,Commercial,4,1720,6,Diesel,250Nm@2750rpm,Other,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,85,34791,Automatic,3,Disc,1.5 L U2 CRDi,1635,2 years and 1 months,30,On Street,C12,1790,5000,Power,Student,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,32,0
P63,Rental,3,1155,5,Petrol,91Nm@4250rpm,Black,"['parking_camera', 'power_door_locks', 'central_locking', 'power_steering', 'day_night_mirror', 'ecw', 'speed_alert']",2,19,13051,Automatic,2,Drum,1.0 SCe,1490,3 years and 1 months,25,On Street,C6,1579,15000,Electric,Student,3731,M3,67.06bhp@5500rpm,999,5.0,A,23,0
P64,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,Other,"['parking_sensors', 'power_steering', 'speed_alert']",2,3,4076,Manual,1,Drum,F8D Petrol Engine,1475,0 months,40,On Street,C3,1515,25000,Power,Self-Employed,3445,M1,40.36bhp@6000rpm,796,4.6,A,5,0
P65,Commercial,3,1340,5,CNG,82.1Nm@3400rpm,Blue,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,21,8794,Manual,1,Drum,K10C,1675,6 years and 3 months,35,On Street,C8,1620,5000,Power,Retired,3655,M8,55.92bhp@5300rpm,998,4.7,B1,20,0
P66,Ride-sharing,4,1051,5,Diesel,200Nm@1750rpm,White,"['adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_defogger', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,37,5410,Manual,5,Drum,i-DTEC,1501,2 years and 9 months,43,Driveway,C13,1695,20000,Electric,Unemployed,3995,M9,97.89bhp@3600rpm,1498,4.9,C1,41,0
P67,Ride-sharing,4,1410,5,Petrol,113Nm@4400rpm,Blue,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",6,7,34738,Automatic,1,Drum,1.2 L K Series Engine,1500,3 years and 10 months,37,Driveway,C5,1745,25000,Electric,Self-Employed,3990,M7,88.50bhp@6000rpm,1197,4.85,B2,8,0
